Date,Price,Open,High,Low,Change %
"Mar 26, 2014",60.145,60.3,60.305,60.06,-0.56
"Mar 25, 2014",60.485,60.6,60.605,60.43,-0.49
"Mar 24, 2014",60.78,60.85,60.855,60.64,-0.2
"Mar 21, 2014",60.9,61.19,61.205,60.895,-0.72
"Mar 20, 2014",61.34,61.38,61.39,61.06,0.6
"Mar 19, 2014",60.975,61.07,61.185,60.91,-0.23
"Mar 18, 2014",61.115,61.02,61.215,60.86,0.04
"Mar 17, 2014",61.09,61.12,61.13,61.06,-0.19
"Mar 14, 2014",61.205,61.41,61.555,61.05,0.05
"Mar 13, 2014",61.175,61.02,61.185,60.91,-0.07
"Mar 12, 2014",61.22,60.94,61.295,60.94,0.45
"Mar 11, 2014",60.945,60.88,60.975,60.6,0.16
"Mar 10, 2014",60.845,61.25,61.335,60.785,-0.39
"Mar 07, 2014",61.085,61.01,61.175,60.94,-0.05
"Mar 06, 2014",61.115,61.53,61.535,61.1,-1.04
"Mar 05, 2014",61.755,61.9,61.91,61.645,-0.24
"Mar 04, 2014",61.905,62.12,62.155,61.82,-0.23
"Mar 03, 2014",62.045,61.95,62.09,61.81,0.4
"Feb 28, 2014",61.795,62.1,62.14,61.75,-0.32
"Feb 27, 2014",61.995,61.99,61.995,61.99,0.02
"Feb 26, 2014",61.985,61.96,62.055,61.88,0
"Feb 25, 2014",61.985,61.97,62.05,61.845,-0.14
"Feb 24, 2014",62.075,62.1,62.16,61.94,-0.1
"Feb 21, 2014",62.14,62.18,62.19,62.045,-0.16
"Feb 20, 2014",62.24,62.37,62.45,62.203,0
"Feb 19, 2014",62.24,62.19,62.24,62.19,0.1
"Feb 18, 2014",62.18,62.01,62.31,61.95,0.54
"Feb 17, 2014",61.845,61.96,62.085,61.82,-0.02
"Feb 14, 2014",61.855,62.24,62.37,61.84,-0.91
"Feb 13, 2014",62.425,62,62.465,62,0.53
"Feb 12, 2014",62.095,62.1,62.185,62.04,-0.21
"Feb 11, 2014",62.225,62.35,62.455,62.185,-0.37
"Feb 10, 2014",62.455,62.36,62.505,62.075,0.24
"Feb 07, 2014",62.305,62.3,62.415,62.245,-0.12
"Feb 06, 2014",62.38,62.36,62.55,62.35,-0.35
"Feb 05, 2014",62.6,62.38,62.62,62.35,0.11
"Feb 04, 2014",62.53,62.65,62.835,62.483,-0.06
"Feb 03, 2014",62.565,62.7,62.79,62.55,-0.19
"Jan 31, 2014",62.685,62.4,62.755,62.35,0.19
"Jan 30, 2014",62.565,62.9,62.905,62.54,0.14
"Jan 29, 2014",62.475,62.33,62.59,62.1,-0.16
"Jan 28, 2014",62.575,63.18,63.195,62.5,-0.84
"Jan 27, 2014",63.105,62.88,63.325,62.65,0.65
"Jan 24, 2014",62.695,61.93,62.745,61.93,1.23
"Jan 23, 2014",61.933,61.81,62.05,61.81,0.18
"Jan 22, 2014",61.82,61.9,62.025,61.711,-0.11
"Jan 21, 2014",61.885,61.54,61.945,61.45,0.42
"Jan 20, 2014",61.625,61.67,61.675,61.525,0.13
"Jan 17, 2014",61.545,61.48,61.555,61.315,0.01
"Jan 16, 2014",61.54,61.65,61.71,61.505,-0.06
"Jan 15, 2014",61.58,61.66,61.72,61.42,0.15
"Jan 14, 2014",61.49,61.48,61.49,61.48,-0.06
"Jan 13, 2014",61.525,61.6,61.64,61.42,-0.62
"Jan 10, 2014",61.907,62,62.005,61.82,-0.3
"Jan 09, 2014",62.095,62.12,62.245,61.97,-0.11
"Jan 08, 2014",62.165,62.2,62.282,62.07,-0.22
"Jan 07, 2014",62.305,62.4,62.475,62.29,-0.02
"Jan 06, 2014",62.315,62.35,62.465,62.22,0.2
"Jan 03, 2014",62.19,62.337,62.565,62.145,-0.13
"Jan 02, 2014",62.27,61.882,62.415,61.745,0.58
"Jan 01, 2014",61.91,61.818,61.995,61.8,0.16
"Dec 31, 2013",61.81,61.792,62.015,61.708,-0.18
"Dec 30, 2013",61.92,61.988,62.17,61.769,-0.03
"Dec 27, 2013",61.94,62.13,62.175,61.83,-0.37
"Dec 26, 2013",62.17,61.77,62.17,61.76,0.6
"Dec 25, 2013",61.8,61.79,61.8,61.79,0.07
"Dec 24, 2013",61.755,61.785,61.975,61.709,-0.34
"Dec 23, 2013",61.963,62.098,62.15,61.78,-0.06
"Dec 20, 2013",62,62.4,62.465,61.915,-0.24
"Dec 19, 2013",62.15,62,62.49,62,0.08
"Dec 18, 2013",62.1,61.9,62.203,61.78,0.13
"Dec 17, 2013",62.02,61.68,62.04,61.68,0.45
"Dec 16, 2013",61.74,62.05,62.22,61.615,-0.73
"Dec 13, 2013",62.195,62.1,62.297,62.04,0.61
"Dec 12, 2013",61.82,61.6,61.94,61.421,0.92
"Dec 11, 2013",61.255,61.007,61.435,61.007,0.34
"Dec 10, 2013",61.05,60.98,61.305,60.939,-0.15
"Dec 09, 2013",61.14,60.83,61.22,60.83,-0.48
"Dec 06, 2013",61.435,61.64,61.727,61.268,-0.53
"Dec 05, 2013",61.763,61.95,61.96,61.524,-0.48
"Dec 04, 2013",62.06,62.37,62.543,61.902,-0.5
"Dec 03, 2013",62.37,62.305,62.455,62.196,0.07
"Dec 02, 2013",62.325,62.35,62.36,61.911,-0.12
"Nov 29, 2013",62.399,62.305,62.655,62.195,0.19
"Nov 28, 2013",62.282,62.39,62.568,62.26,0.21
"Nov 27, 2013",62.15,62.465,62.475,62.14,-0.58
"Nov 26, 2013",62.51,62.388,62.658,62.188,0
"Nov 25, 2013",62.51,62.65,62.7,62.337,-0.36
"Nov 22, 2013",62.733,63.032,63.095,62.723,-0.33
"Nov 21, 2013",62.94,62.5,63.065,62.5,0.58
"Nov 20, 2013",62.58,62.247,62.69,62.235,0.34
"Nov 19, 2013",62.37,62.155,62.39,61.87,-0.08
"Nov 18, 2013",62.42,62.815,62.92,62.37,-0.89
"Nov 15, 2013",62.98,63.09,63.262,62.965,-0.22
"Nov 14, 2013",63.12,63.3,63.35,62.95,-0.3
"Nov 13, 2013",63.31,63.73,63.91,63.202,-0.64
"Nov 12, 2013",63.72,63.24,63.85,63.24,0.75
"Nov 11, 2013",63.245,62.98,63.502,62.915,1.22
"Nov 08, 2013",62.48,62.397,62.834,62.397,0.1
"Nov 07, 2013",62.42,62.34,62.763,62.315,0.03
"Nov 06, 2013",62.4,62,62.542,61.815,1.24
"Nov 05, 2013",61.635,61.74,61.96,61.61,-0.19
"Nov 04, 2013",61.75,61.74,61.75,61.74,0
"Nov 01, 2013",61.75,61.5,62.025,61.5,0.2
"Oct 31, 2013",61.624,61.265,61.63,61.235,0.59
